اشکبار	'aSkbAr
آنتراسیت	'AntrAsit
حاجت	hAjat
فراخ	farAx
طهران	tehrAn
جویده	javide
هنگامی‌که	hengAmike
تهیدستی	tohidasti
نفوذپذیری	nofuzpaziri
تیز	tiz
یکه‌تاز	yekketAz
تحمیل	tahmil
جامائیکا	jAmA'ikA
سلطان‌آباد	soltAnAbAd
فان	fAn
ثابتی	sAbeti
ازبین‌رفته	'azbeynrafte
هوس‌پرستی	havasparasti
طرلان	tarlAn
بلندپروازی	bolandparvAzi
آموزه	'Amuze
ژرژ	ZorZ
بادقت	bAdeqqat
استخوان‌پزشکی	'ostexAnpezeSki
تجوید	tajvid
پرمشغله	pormaSqale
زیا	ziyA
خایه‌مالی	xAyemAli
میمیک	mimik
عریان	'oryAn
بغض	boqz
ملالت	malAlat
نپسندیده	napasandide
وقیحانه	vaqihAne
پاره‌شده	pAreSode
کاترپیلار	kAterpilAr
اصطهباناتی	'estahbAnAti
توسعه‌نیافتگی	towse'enayAftegi
تقلید	taqlid
بلاهت	balAhat
راستکی	rAstaki
علی	'ali
کلوکه	keloke
غورباغه	qurbAqe
بی‌رنگ	birang
گود‌برداری	gowdbardAri
شدت	Seddat
ربطی	rabti
احسان‌الله	'ehsAnollAh
بی‌غمی	biqami
عمو	'amu
منفعت‌طلبانه	manfa'attalabAne
اخرائی	'oxrA'i
مزرعه‌دار	mazra'edAr
اردویی	'orduyi
نصرتی	nosrati
مضایق	mazAyeq
فاگوسیت	fAgosit
مرصع	morassa'
افواهی	'afvAhi
طره	torre
وطنی	vatani
رهنمود	rahnemud
مرتبه	martabe
کاینات	kAyenAt
نعلین	na'leyn
کاربند	kArband
واترپروف	vAterporuf
متبحر	motebahher
مونیخ	munix
صورت‌‌بندی	suratbandi
غرض‌‌ورز	qarazvarz
شکسپیر	Sekspir
لپک	lapak
گستاخی	gostAxi
مستحبی	mostahabbi
آوازه	'AvAze
کمپرسی	komperesi
خداوند	xodAvand
بهداشتی	behdASti
ازمابهتران	'azmAbehtarAn
کباب	kabAb
دادگر	dAdgar
شیعه	Si'e
زیرجلی	zirjoli
مظفرشاه	mozaffarSAh
الیم	'alim
پیما	peymA
مبهی	mobahhi
بازی‌درمانی	bAzidarmAni
گل‌آقایی	golAqAyi
رشوه‌گیر	reSvegir
قضایی	qazAyi
اینترپول	'interpol
برتری‌طلبی	bartaritalabi
کلاه‌‌خود	kolAhxud
نمازخوان	namAzxAn
کفترک	kaftarak
سپرده	seporde
قلدر	qoldor
قاضی‌‌نژاد	qAzineZAd
دیر‌باور	dirbAvar
شبه‌علمی	Sebhe'elmi
لیم	lim
چرا	CarA
عمار	'ammAr
گلزاری	golzAri
غافر	qAfer
پرمهر	pormehr
املاح	'amlAh
نورافکن	nurafkan
خشکبار	xoSkbAr
دعوتی	da'vati
بمب‌‌افکن	bombafkan
مواریث	mavAris
هرگز	hargez
خرقه‌پوش	xerqepuS
مک	mak
پروتئین	porote'in
امتزاج	'emtezAj
احول	'ahval
جوین	jovin
مصلحت‌اندیشانه	maslehatandiSAne
فیضیه	feyziyye
ملحمه	malhame
امیرنشین	'amirneSin
آبخوان	'AbxAn
کرمانشاهی	kermAnSAhi
احقاق	'ehqAq
تکراری	tekrAri
مطالبه	motAlebe
حیوان‌صفت	heyvAnsefat
رطوبی	rutubi
فن‌‌آور	fanAvar
چارچار	CArCAr
خیابان	xiyAbAn
شفایی	SafAyi
وطن‌پرست	vatanparast
هیجان‌انگیز	hayajAnangiz
خیالاتی	xiyAlAti
گیر‌و‌دار	girodAr
سیسیل	sisil
عنایات	'enAyAt
اساسی	'asAsi
تولارمی	tulArmi
افخمی	'afxami
تواب	tavvAb
آهنگری	'Ahangari
لاهیجانی	lAhijAni
دیاگرام	diyAgeram
ناآشنائی	nA'ASenA'i
زیادتی	ziyAdati
معهود	ma'hud
آفرینندگی	'Afarinandegi
غیر‌‌مطمئن	qeyremotma'en
توصیف‌شده	towsifSode
غبن	qabn
دوباره	dobAre
به‌هم‌ریختگی	behamrixtegi
رهسپاری	rahsepAri
غیرمترقبه	qeyremotaraqqebe
اختر	'axtar
ارده‌ای	'arde'i
داروگر	dArugar
کاهو	kAhu
هندیجان	hendijAn
شمالی	SomAli
کلاره	kelAre
ورودیه	vorudiyye
مدارس	madAres
غیرموازی	qeyremovAzi
نایل	nAyel
سورسات	sursAt
توز	tuz
لزجت	lazjat
یکسوساز	yeksusAz
مال‌اندوز	mAlanduz
حایل	hAyel
اعداء	'a'dA
مرکوری	merkuri
صحرایی	sahrAyi
سالخورده	sAlxorde
زوجین	zowjeyn
رحیم	rahim
گلکاری	golkAri
عزیزخان	'azizxAn
تعلق	ta'alloq
تیراژه	tirAZe
شیرده	Sirdeh
گودال	gowdAl
آرزومند	'Arezumand
شکاک	SakkAk
حفره	hofre
ایهام	'ihAm
موکول	mowkul
کوفه	kufe
الفباء	'alefbA
مقاله‌نویسی	maqAlenevisi
اعدام	'e'dAm
میبدی	meybodi
رختشور	raxtSur
استیضاح	'estizAh
هم‌نوع‌خوار	hamnow'xAr
قبرستان	qabrestAn
کروماتوگرافی	koromAtogerAfi
دو‌هزارساله	dohezArsAle
سعایت	sa'Ayat
نجف‌آبادی	najafAbAdi
دستمزدی	dastmozdi
ده‌ساله	dahsAle
الزهرا	'azzahrA
بیست‌گانه	bistgAne
اجماعی	'ejmA'i
خیزش	xizeS
نو‌مسلمان	nowmosalmAn
مشغله	maSqale
تحکم‌آمیز	tahakkomAmiz
قیراندود	qirandud
بهاییت	bahAyiyyat
بابلسر	bAbolsar
متصوفه	motesavvefe
پیشدادی	piSdAdi
مداوا	modAvA
انجیر	'anjir
بدلی	badali
فته	fate
مستدعی	mostad'i
امضاء‌شده	'emzASode
ناپایداری	nApAydAri
ده‌رقمی	dahraqami
متکلف	motekallef
حراستی	herAsati
مغلوب	maqlub
خرمشهری	xorramSahri
آدمیزاد	'AdamizAd
حائری	hA'eri
فقیر	faqir
براهماپوترا	berAhmAputrA
منیت	maniyyat
سلطانیه	soltAniyye
ناایمنی	nA'imeni
گواهینامه	govAhinAme
کشوئی	keSow'i
گردون	gardun
نخاع	noxA'
جونده	javande
گردآلود	gerdAlud
تن‌پوش	tanpuS
یخنی	yaxni
نمره‌ای	nomre'i
روده‌بند	rudeband
صلح‌جویانه	solhjuyAne
مستغلات	mostaqellAt
خجالت‌آور	xejAlatAvar
پارینه‌سنگی	pArinesangi
فرآوری	farAvari
درونزاد	darunzAd
راسب	rAseb
اعمی	'a'mA
مداحی	maddAhi
صدری	sadri
فرسوده	farsude
عیوب	'oyub
ناظمی	nAzemi
پاک‌دامن	pAkdAman
تی	tey
نکو	neku
بن‌لادن	benlAden
خلل‌پذیر	xelalpazir
خاصه	xAsse
اسلام‌پناه	'eslAmpanAh
رزم‌دیده	razmdide
قرینه	qarine
بی‌ارتباط	bi'ertebAt
لقاء‌الله	leqA'allAh
جمشیدیان	jamSidiyAn
فردیت	fardiyyat
پرویزن	parvizan
بهبود‌سازی	behbudsAzi
تمبرهندی	tamrehendi
غمکده	qamkade
زودهنگام	zudhengAm
مولودی	mowludi
کوتیکول	kutikul
قلدری	qoldori
گشنگیری	goSngiri
زها‌زه	zehAze
طهرانی	tehrAni
بی‌گناهی	bigonAhi
معجزآسا	mo'jeze'AsA
لیچ	liC
غیرقابل‌‌انکار	qeyreqAbele'enkAr
افزون‌بر‌این	'afzunbarin
غر	qor
موریس	muris
چرخانید	CarxAnid
مناجات‌نامه	monAjAtnAme
فرخ‌‌شهر	farroxSahr
نایچه	nAyCe
گردانندگی	gardAnandegi
چاتمه	CAtme
ممکنه	momkene
پشندی	paSandi
ناگواری	nAgovAri
سدسازی	sadsAzi
وجدانیات	vojdAniyyAt
خراط	xarrAt
فتنه‌‌انگیز	fetne'angiz
مباشر	mobASer
دریوزه‌گری	daryuzegari
همریشه	hamriSe
گیج‌کننده	gijkonande
پالان‌دوز	pAlAnduz
جاست	jAst
نیک‌فرجامی	nikfarjAmi
مانیتور	mAnitor
مادرخوانده	mAdarxAnde
لیبرالیسم	liberAlism
باتلاق	bAtlAq
منقور	manqur
بیمناک	bimnAk
جاکش	jAkeS
مناسک	manAsek
بیوت	buyut
مصون‌سازی	masunsAzi
کم‌‌طاقت	kamtAqat
ابونعیم	'abuna'im
نمایشنامه‌نویس	namAyeSnAmenevis
برگی	bargi
رقت‌انگیز	reqqatangiz
دیمکار	deymkAr
بزرگواری	bozorgvAri
شگرد	Segerd
قلعی	qal'i
خوش‌نشین	xoSneSin
مدهش	modheS
غیردانشگاهی	qeyredAneSgAhi
سرهم‌بندی	sarhambandi
کالونیسم	kAlvanism
ملحقات	molhaqAt
بخشنده	baxSande
چکاپ	CekAp
پنکه	panke
بلاعزل	belA'azl
قوام	qavAm
پدر	pedar
اپراه	'operAh
وام‌گیری	vAmgiri
انصارالمهدی	'ansArolmahdi
سفره‌ماهی	sofremAhi
آرشیو	'ArSiv
رقص‌کنان	raqskonAn
گیاهی	giyAhi
آدرس	'Adres
بی‌نوائی	binavA'i
تکاب	takAb
یاسمن	yAsaman
کتره‌‌ای	katre'i
زنده‌یاد	zendeyAd
بی‌توجهی	bitavajjohi
چشمی	CeSmi
امری	'amri
آشتیان	'AStiyAn
گریه	gerye
زیادت	ziyAdat
رفتار	raftAr
اخیرالذکر	'axirozzekr
مسکوک	maskuk
گجرات	gojarAt
انبوه‌ساز	'anbuhsAz
تربیت‌شده	tarbiyatSode
عایقی	'Ayeqi
جیبی	jibi
دیالکتیک	diyAlektik
آموختنی	'Amuxtani
تروریستی	teroristi
شاغلام	SAqolAm
مفقودالاثر	mafqudol'asar
رزمگاه	razmgAh
چران	CarAn
نخست‌وزیر	noxostvazir
ضد‌‌تروریستی	zeddeteroristi
جگرخراش	jegarxarAS
خرک	xarak
کربنات	karbonAt
رنگرزی	rangrazi
اعتنا	'e'tenA
به‌خوبی	bexubi
بایسنقر	bAysonqor
بیشینه	biSine
لخت	laxt
فرماندهی	farmAndehi
زنگوله	zangule
صفر	safar
سریع‌السیر	sari'osseyr
مرغوبیت	marqubiyyat
برخور	barxor
نادقیق	nAdaqiq
وند	vand
عوامل	'avAmel
تماشاگر‌پسند	tamASgarpasand
تشریف‌فرمایی	taSriffarmAyi
صمیمیت	samimiyyat
متمایزکننده	motemAyezkonande
شارلمانی	SArlomAni
پورعرب	pur'arab
سایز	sAyz
جرگه	jarge
ارایه‌شده	'erAyeSode
توفق	tavaffoq
گیسو	gisu
بابابزرگ	bAbAbozorg
امورات	'omurAt
تخمین	taxmin
فوکو	foko
سلخ	salx
آبله	'Able
بی‌آغاز	bi'AqAz
زوجیت	zowjiyyat
شب‌‌کار	SabkAr
فشار‌‌قوی	feSArqavi
نیجر	nijer
نا‌مربوط	nAmarbut
رشته‌خشکار	reStexoSkAr
مشهدی	maShadi
خورانده	xorAnde
کلوخ‌کوب	kuluxkub
بی‌معنائی	bima'nA'i
بورژوائی	burZuvA'i
پول‌دار	puldAr
از‌پیش‌تعیین‌شده	'azpiSta'yinSode
عربی‌‌نویس	'arabinevis
صحیح	sahih
آبریز	'Abriz
گذرنامه	gozarnAme
کمانک	kamAnak
فصح	fasah
حرامزاده	harAmzAde
بیگدلی	bigdeli
تروتسکیسم	teroteskism
افسانه‌سازی	'afsAnesAzi
سالن	sAlon
صبح‌‌خیز	sobhxiz
اوورتور	'overtur
تذبذب	tazabzob
خلع	xal'
سازمان‌یابی	sAzmAnyAbi
دمپر	damper
مکانیزم	mekAnizm
رنگ	rang
هیدر	hidr
زمزمه‌کنان	zemzemekonAn
ارخالق	'arxAloq
لیل	layl
متابعت	motAbe'at
پیمانه‌ای	peymAne'i
انگلیسی‌تبار	'engelisitabAr
وثوق‌الدوله	vosuqoddowle
آوردگاه	'AvardgAh
بایزید	bAyazid
نمک‌دوست	namakdust
اریحا	'arihA
بی‌تابی	bitAbi
مولوی‌شناس	mowlaviSenAs
بهزاد	behzAd
واپس	vApas
مخزن‌الاسرار	maxzanol'asrAr
استحکامی	'estehkAmi
المصری	'almesri
برادر	barAdar
متمسک	motemassek
ایتالیک	'itAlik
تسهیلاتی	tashilAti
اسپرماتوزویید	'espermAtozoyid
خوابیده	xAbide
مرتاض	mortAz
قلم‌انداز	qalamandAz
سهمیه‌ای	sahmiyye'i
ده‌دشت	dehdaSt
اسلام‌گرایانه	'eslAmgerAyAne
حساب‌شده	hesAbSode
نجومی	nojumi
خسروآبادی	xosrow'AbAdi
کوا	kevA
پیمانکار	peymAnkAr
کفور	kafur
ترمیناتور	terminAtor
یاخته‌ای	yAxte'i
درست‌کاری	dorostkAri
رنگدانه	rangdAne
کاسه‌لیسی	kAselisi
مزرعه	mazra'e
وسطی	vasati
ماهرخسار	mAhroxsAr
اقصا	'aqsA
امسال	'emsAl
بصل‌النخاع	basalonnoxA'
کاشف‌‌الغطاء	kASefolqetA
اجاره‌نامه	'ejArenAme
داروپخش	dArupaxS
سیدرضی	seyyedrazi
پنج‌طبقه	panjtabaqe
ضد‌‌تروریست	zeddeterorist
خلاف‌کار	xalAfkAr
تحقیر	tahqir
پایپز	pAyiz
خانمی	xAnomi
کیسه	kise
طرح‌ریزی	tarhrizi
تهمت	tohmat
پالایه	pAlAye
نچسب	naCasb
بادنما	bAdnemA
کرتاسه	kertAse
پخته‌خوار	poxtexAr
قصبات	qasabAt
همام	homAm
ویشکا	viSkA
همانند	hamAnand
واسکو‌دوگاما	vAskodogAmA
کریل	karil
گاهشماری	gAhSomAri
غم‌انگیز	qamangiz
طاهری	tAheri
بدر	badr
سربازی	sarbAzi
قناعت‌‌پیشه	qenA'atpiSe
حیات	hayAt
فخرالمحققین	faxrolmohaqqeqin
دوار	davvAr
بایت	bAyt
به‌هم‌وابسته	behamvAbaste
رسوبات	rosubAt
ناشتائی	nAStA'i
اصلح	'aslah
عواید	'avAyed
شبکیه	Sabakiyye
ابریق	'ebriq
قاشقی	qASoqi
موهومات	mowhumAt
بی‌حرمتی	bihormati
سردبیری	sardabiri
شکیبائی	SakibA'i
کدامین	kodAmin
شیرانی	SirAni
سربه‌هوا	sarbehavA
برچیده	barCide
عمقی	'omqi
اهانت‌بار	'ehAnatbAr
چماق	ComAq
هیچگه	hiCgah
حسابگری	hesAbgari
چسبندگی	Casbandegi
راستگرد	rAstgard
ایرانیک	'irAnik
جیک	jik
پرده‌دوز	pardeduz
به‌جا‌مانده	bejAmAnde
ثمربخشی	samarbaxSi
پر‌غصه	porqosse
پوک	puk
کمبریج	kembrij
ناراحت‌کننده	nArAhatkonande
خزری	xazari
ایزوبار	'izobAr
منصوره	mansure
شهاب‌سنگ	SahAbsang
عماد‌‌الملک	'emAdolmolk
رقت	reqqat
تیزگوشی	tizguSi
بابامیری	bAbAmiri
پایایی	pAyAyi
ناجی	nAji
توجیه‌پذیر	towjihpazir
آویزه	'Avize
نیکوسیرت	nikusirat
محتوم	mahtum
گیل‌گمش	gilgameS
تجسمی	tajassomi
آیش	'AyeS
حضارت	hazArat
پانل	pAnel
مزدیسنا	mazdaisnA
بستگی	bastegi
حسن‌خانی	hasanxAni
کاف	kAf
کیت	kit
اشکاف	'eSkAf
فراطبیعی	farAtabi'i
جهان‌نما	jahAnnamA
دست‌به‌دست	dastbedast
قدیسی	qeddisi
یوسف‌وند	yusefvand
کتک‌‌خورده	kotakxorde
میرمحمدی	mirmohammadi
نمایاننده	namAyAnande
زین	zin
جنباند	jonbAnd
اس	'es
مقاطعه‌کار	moqAte'ekAr
فیوض	foyuz
برفکی	barfaki
امار	'amAr
اتوتروف	'ototerof
هم‌رکاب	hamrekAb
ستاره‌باران	setArebArAn
یواش	yavAS
پیشواز	piSvAz
شایعه‌‌پردازی	SAye'epardAzi
قندرون	qandarun
دایره‌وار	dAyerevAr
هیربد	hirbad
سری‌لانکا	serilAnkA
ویروس	virus
منفعت‌پرست	manfa'atparast
غیراکتسابی	qeyre'ektesAbi
ثخذ	saxez
مانده	mAnde
چلیک	Celik
توده‌گرا	tudegerA
متنازع	motenAze'
مین‌یابی	minyAbi
گرماگرم	garmAgarm
حنیفه	hanife
آبادسازی	'AbAdsAzi
فرخ‌‌نژاد	farroxneZAd
کتابداری	ketAbdAri
وزارتخانه	vezAratxAne
گشت‌وگذار	gaStogozAr
الهیه	'elAhiyye
ویتنامی	viyetnAmi
فلاحت	falAhat
آهن‌دار	'AhandAr
منافقی	monAfeqi
سقلمه	soqolme
کاسک	kAsk
بلومبرگ	belomberg
دنگ	dang
اقیانوسی	'oqyAnusi
نگرنده	negarande
براحتی	berAhati
نازبالش	nAzbAleS
طبال	tabbAl
نامردم	nAmardom
رو‌به‌گسترش	rubegostareS
بلبل	bolbol
اخاذی	'axxAzi
بالیستیک	bAlestik
فرموده	farmude
گینه‌نو	gineyenow
رفاقتی	refAqati
زد	zad
دربان	darbAn
هزارتومانی	hezArtomAni
هرزه‌گرد	harzegard
هق‌هق	heqheq
لن	lan
هاگدان	hAgdAn
خزرج	xazraj
فیلا	fil
آویختگی	'Avixtegi
تونسی	tunesi
گمارده	gomArde
صدائی	sedA'i
ارزشمند	'arzeSmand
هاشور	hASur
آکد	'Aked
مشرب	maSrab
برکلیم	berkelyom
کاشف	kASef
به‌کلی	bekolli
دل‌نازک	delnAzok
سلب‌کننده	salbkonande
جقه	jeqqe
سربند	sarband
کرداری	kerdAri
میسیون	misyon
دربانی	darbAni
لاکتاز	lAktAz
شبه‌جزیره	Sebhejazire
ادغام	'edqAm
سپهسالاری	sepahsAlAri
ترقه	taraqqe
زیدی	zeydi
کیمونو	kimono
نابسامانی	nAbesAmAni
مخاطره	moxAtere
یک‌طرفه	yektarafe
مضرس	mozarras
صحراگرد	sahrAgard
مثقال	mesqAl
عطیه	'atiyye
فارماکولوژیک	fArmAkoloZik
پنچر	panCar
تلطیف	taltif
مراوده	morAvede
بکار	bekAr
رزاز	razzAz
استقلال‌طلبی	'esteqlAltalabi
باکتری	bAkteri
زیتون	zeytun
منجوق‌دوزی	monjuqduzi
اصغرزاده	'asqarzAde
آلبرتینی	'Albertini
شنبلیله	Sambalile
نشان‌داده‌شده	neSAndAdeSode
عالمانه	'AlemAne
در‌دسترس	dardastres
فرو‌‌برده	furuborde
زیستی	zisti
پندآمیز	pandAmiz
نامنتظر	nAmotazer
زیرجامه	zirjAme
امدادرسان	'emdAdresAn
واگذار	vAgozAr
حیز	hayyez
سعدی	sa'di
نیکخواهی	nikxAhi
امینیان	'aminiyAn
مدارج	madArej
سینایی	sinAyi
وسع	vos'
جفا	jafA
آتنا	'AtenA
کوچندگی	kuCandegi
نامردانه	nAmardAne
بی‌نقاب	bineqAb
نصری	nasri
لویزه	lavize
پراید	perAyd
خلیق	xaliq
زودی	zudi
هم‌جهتی	hamjahati
سخیف	saxif
آیه‌ای	'Aye'i
ساده‌زیستی	sAdezisti
پیش‌بند	piSband
قربانی	qorbAni
اسکندر‌نامه	'eskandarnAme
کدیابی	kodyAbi
کفزیان	kafziyAn
خودگردان	xodgardAn
ضابطه	zAbete
یخمه	yaxmeh
محکمه‌پسند	mahkamepasand
اسکوتوم	'eskotom
بی‌فرجام	bifarjAm
مخترع	moxtare'
سر‌پا	sarpA
مخرج	maxraj
مگ	mak
سرهنگی	sarhangi
آخری	'Axari
صبیه	sabiyye
مرداد	mordAd
کفشداری	kafSdAri
رئال	re'Al
الحسنی	'alhasani
خودش	xodaS
سبزه‌میدان	sabzemeydAn
آوازخوان	'AvAzxAn
پراهمیت	por'ahammiyyat
همینه	hamine
پرسشگری	porseSgari
درآمیخت	darAmixt
قشونی	qoSuni
زالی	zAli
مقنن	moqannen
شیرابه	SirAbe
جهانسوزی	jahAnsuzi
پاریزی	pArizi
پروپا	paropA
شکرخند	Sekarxand
شاهنامه‌خوانی	SAhnAmexAni
گرزن	garzan
دادستان‌کل	dAdsetAnekoll
اعتلا	'e'telA
هنردرمانی	honardarmAni
قارچها	qArChA
شیمی‌‌درمانی	SimidarmAni
شرافتی	SerAfati
اسلوموشن	'eslomowSen
تراویح	tarAvih
ارابه‌ران	'arrAberAn
ممتازی	momtAzi
بم	bam
چکسلواکی	CekoslovAki
جلال‌الدین	jalAleddin
صنوف	sonuf
تفعل	tafa''ol
حسن	hasan
ادیسون	'edison
ایلیا	'iliyA
حدید	hadid
کاروانسرا	kArvAnsarA
بحرالعلوم	bahrol'olum
هفده‌سالگی	hefdahsAlegi
کلاشی	kallASi
خرابات	xarAbAt
ژاپنی	ZAponi
جنجالی	janjAli
تیزی	tizi
طبقه‌‌بندی‌‌شده	tabaqebandiSode
سائیدگی	sA'idegi
مادرچاه	mAdarCAh
انسان‌شناسی	'ensAnSenAsi
ابه	'obe
انهار	'anhAr
مجرب	mojarrab
شدید	Sadid
بازی‌ساز	bAzisAz
پاروزن	pAruzan
پروبال	parobAl
مسدودکننده	masdudkonande
سهره‌ها	sehrehA
استقلال‌یافته	'esteqlAlyAfte
متون	motun
مغولستان	moqolestAn
استحفاظ	'estehfAz
مقدس	moqaddas
بدیهه	badihe
جو	jav
اسکیشهر	'eskiSahr
مردانه	mardAne
فراهم‌‌سازی	farAhamsAzi
عود	'owd
نیوزلندی	niyuzlandi
بی‌لنگر	bilangar
فهرست‌‌نویس	fehrestnevis
ماجدی	mAjedi
خصائل	xasA'el
سایه‌وار	sAyevAr
تهنیت	tahniyat
اطاقسرا	'otAqsarA
سیاه‌‌قلم	siyAhqalam
لطیفیان	latifiyAn
کرم‌‌رضایی	karamrezAyi
آمرزش	'AmorzeS
مدیریتی	modiriyyati
تقی‌خان	taqixAn
دادکان	dAdkAn
همپایه	hampAye
تذکره‌نویس	tazkarenevis
نفیسه	nafise
عرشی	'arSi
پژمرده	paZmorde
برآمدگی	barAmadegi
پر‌معنایی	porma'nAyi
تمسخرآمیز	tamasxorAmiz
مدرس	madras
توک	tuk
وسیم	vasim
کارگذار	kArgozAr
زه	zeh
آبزدایی	'AbzodAyi
کم‌‌کاری	kamkAri
دمگل	domgol
غیرادبی	qeyre'adabi
تبلوریافته	tabalvoryAfte
لیث	leys
ریاست	riyAsat
بلوند	belond
علت	'ellat
آیدا	'AydA
پندارید	pendArid
سرگروهبان	sarguruhbAn
اتراق	'otrAq
مبین	mobayyen
آیکن	'Aykon
لفظ	lafz
سون	sun
شریک	Sarik
سادیستی	sAdisti
لذایذ	lazAyez
بسیار	besyAr
پامال	pAmAl
راهب	rAheb
به‌غیر	beqeyre
پلانتاریم	pelAnetAriyom
بچه‌دان	baCCedAn
جوع	ju'
لوله‌کشی	lulekeSi
کلمبیایی	kolombiyAyi
ادیپی	'odipi
سنجابها	sanjAbhA
بی‌نظم	binazm
هیاکل	hayAkel
ناپدری	nApedari
خاورمیانه‌ای	xAvarmiyAne'i
منظره	manzare
اسراییلی	'esrAyili
لختی	laxti
سبیلو	sebilu
کوه‌‌سنگی	kuhsangi
سمی	sammi
لااقل	lA'aqal
فقر	faqr
هلی‌کوپتر	helikopter
عرقگیری	'araqgiri
مبارکی	mobAraki
دلسردی	delsardi
سندر	sandar
ترویج‌دهنده	tarvijdahande
روشنگرانه	rowSangarAne
شعرباف	Se'rbAf
تاج‌ریزی	tAjrizi
جائرانه	jA'erAne
صربی	serbi
یمنی	yamani
زایدالوصف	zAyedolvasf
سینمائی	sinamA'i
منصه	menasse
ذریات	zorriyyAt
ته	tah
تنیس	tenis
پهلوگاه	pahlugAh
زایشی	zAyeSi
پارسنگ	pArsang
اثاثه	'asAse
کفشدوز	kafSduz
جامد	jAmed
پارس‌تبار	pArstabAr
لنینیسم	leninism
هوازی	havAzi
باباوند	bAbAvand
تاقدیس	tAqdis
غرنده	qorrande
عداوت	'edAvat
پیش‌برنده	piSbarande
بی‌ریشه	biriSe
جهید	jahid
طولانی	tulAni
غیرتهاجمی	qeyretahAjomi
جعل	ja'l
شیرازیان	SirAziyAn
مبتدا	mobtadA
پریچه	pariCe
تله‌تایپ	teletAyp
هئیت	hey'at
لنگ	lang
زمین‌فیزیک	zaminfizik
چک	Cak
برازید	barAzid
نیمه‌فعال	nimefa''Al
ارجاعی	'erjA'i
سون‌‌یات‌‌سن	sunyAtsen
مثمر‌ثمر	mosmeresamar
انبوه‌سازی	anbuhsAzi
شفیعیان	Safi'iyAn
طیفی	teyfi
مالتوس	mAltus
ابهررود	'abharrud
عسگری‌‌نسب	'asgarinasab
بربری	barbari
کرتیر	kertir
آبادانی	'AbAdAni
الفتح	'alfath
داوری	dAvari
سروصورت	sarosurat
پسامدرنیسم	pasAmodernism
آزتک	'Aztak
نقایص	naqAyes
کلب‌‌علی	kalb'ali
انحا	'anhA
وبا	vabA
نژند	naZand
علم‌‌زدگی	'elmzadegi
اقساط	'aqsAt
مشیری	moSiri
همدما	hamdamA
پرتجمل	portajammol
منابر	manAber
ابن‌اثیر	'ebne'asir
فیلمساز	filmsAz
ساقی‌گری	sAqigari
گازوییل	gAzoyil
زیاده‌خواهی	ziyAdexAhi
خودبین	xodbin
رهن‌نامه	rahnnAme
دوبدو	dobedo
قواره	qavAre
سالمند	sAlmand
انگیخته	'angixte
گاهنبار	gAhAnbAr
بنا‌به	banAbe
همفکری	hamfekri
ششلول	SeSlul
دیوانی	divAni
لخته	laxte
شریعتمدار	Sari'atmadAr
درحق	darhaqqe
شجاعانه	SojA'Ane
پیسه	pise
مهمی	mohemmi
مافوق	mAfowq
تند‌مزاجی	tondmazAji
با‌شهامت	bASahAmat
مجتهدی	mojtahedi
اسلام‌گرایی	'eslAmgerAyi
عشوه‌‌گر	'eSvegar
مک‌دونالد	makdonAld
رثا	rasA
کودتاگر	kudetAgar
تخییر	taxyir
سروانی	sarvAni
سکانت	sekAnt
بساک	basAk
اشراف‌سالاری	'aSrAfsAlAri
آزیتا	'AzitA
پروتاکتینیم	porotAktiniyom
ترانویسی	tarAnevisi
اوکراین	'okrAyn
نجات‌دهنده	nejAtdahande
متروپل	metropol
برگردان	bargardAn
مقاله‌نویس	maqAlenevis
غیر‌‌ماهر	qeyremAher
بی‌دستر	bidastar
سود‌‌دهی	suddehi
دندان‌گرد	dandAngerd
فرح‌افزا	farah'afzA
پایتخت	pAytaxt
مارچوبه	mArCube
همانندی	hamAnandi
مخلص	maxlas
علم‌‌آموزی	'elmAmuzi
تاولی	tAvali
خاکستری	xAkestari
تضعیف‌کننده	taz'ifkonande
مباهات	mobAhAt
لرستانی	lorestAni
آزمایشی	'AzmAyeSi
کم‌‌اشتهایی	kameStehAyi
رثاء	rasA
اقل	'aqall
هلفدونی	holofduni
قل‌قل	qolqol
جمع	jam'
خداپرستی	xodAparasti
وجب	vajab
رحیمی‌مقدم	rahimimoqaddam
راهنمائی	rAhnamA'i
خوش‌ظاهر	xoSzAher
دستجردی	dastjerdi
فناناپذیر	fanAnApazir
درخورتوجه	darxoretavajjoh
نظامیه	nezAmiyye
تست	test
اسلام‌شهر	'eslAmSahr
مینوئی	minu'i
یادداشت‌برداری	yAddAStbardAri
مربع‌شکل	morabba'Sekl
بی‌خودی	bixodi
منصف	monsef
پتیالین	petyAlin
گوسپند	guspand
ناشنیده	nASenide
افتان	'oftAn
فاتحی	fAtehi
زالوسانان	zAlusAnAn
نیرومندانه	nirumandAne
عنبربو	'anbarbu
دم‌بخت	damebaxt
ناخوش‌احوال	nAxoSahvAl
دانا	dAnA
چمباتمه	CombAtme
بالارونده	bAlAravande
عزت‌‌مند	'ezzatmand
بلور	bolur
پنتان	pentAn
تقی‌زاده	taqizAde
جامعه‌گسلی	jAme'egosali
نورکافت	nurkAft
کفتر	kaftar
اکوادور	'ekvAdor
آرایید	'ArAyid
آینده	'Ayande
ظروف	zoruf
جویید	juyid
جین	jin
امتحانی	'emtehAni
نوا	navA
حجازی	hejAzi
ریال	riyAl
متنبی	motenabbi
اوصیاء	'owsiyA
